
#                                --------------
#                                 PolyCEID 0.1
#                                --------------

#   THE SOFTWARE IS PROVIDED "AS IS", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR
#   IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,
#   FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT. IN NO EVENT SHALL THE
#   AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER
#   LIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM,
#   OUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN,
#   THE SOFTWARE.

#   The run has started on Fri Mar  9 03:32:49 2012

#         step         time         energy
             0        0.000    7.50333e-02
            50        0.100    7.50333e-02
           100        0.200    7.50333e-02
           150        0.300    7.50333e-02
           200        0.400    7.50333e-02
           250        0.500    7.50333e-02
           300        0.600    7.50333e-02
           350        0.700    7.50333e-02
           400        0.800    7.50333e-02
           450        0.900    7.50333e-02
           500        1.000    7.50333e-02
           550        1.100    7.50333e-02
           600        1.200    7.50333e-02
           650        1.300    7.50333e-02
           700        1.400    7.50333e-02
           750        1.500    7.50333e-02
           800        1.600    7.50333e-02
           850        1.700    7.50333e-02
           900        1.800    7.50333e-02
           950        1.900    7.50333e-02
          1000        2.000    7.50333e-02
          1050        2.100    7.50333e-02
          1100        2.200    7.50333e-02
          1150        2.300    7.50333e-02
          1200        2.400    7.50333e-02
          1250        2.500    7.50333e-02
          1300        2.600    7.50333e-02
          1350        2.700    7.50333e-02
          1400        2.800    7.50333e-02
          1450        2.900    7.50333e-02
          1500        3.000    7.50333e-02
          1550        3.100    7.50333e-02
          1600        3.200    7.50333e-02
          1650        3.300    7.50333e-02
          1700        3.400    7.50333e-02
          1750        3.500    7.50333e-02
          1800        3.600    7.50333e-02
          1850        3.700    7.50333e-02
          1900        3.800    7.50333e-02
          1950        3.900    7.50333e-02
          2000        4.000    7.50333e-02
          2050        4.100    7.50333e-02
          2100        4.200    7.50333e-02
          2150        4.300    7.50333e-02
          2200        4.400    7.50333e-02
          2250        4.500    7.50333e-02
          2300        4.600    7.50333e-02
          2350        4.700    7.50333e-02
          2400        4.800    7.50333e-02
          2450        4.900    7.50333e-02
          2500        5.000    7.50333e-02
          2550        5.100    7.50333e-02
          2600        5.200    7.50333e-02
          2650        5.300    7.50333e-02
          2700        5.400    7.50333e-02
          2750        5.500    7.50333e-02
          2800        5.600    7.50333e-02
          2850        5.700    7.50333e-02
          2900        5.800    7.50333e-02
          2950        5.900    7.50333e-02
          3000        6.000    7.50333e-02
          3050        6.100    7.50333e-02
          3100        6.200    7.50333e-02
          3150        6.300    7.50333e-02
          3200        6.400    7.50333e-02
          3250        6.500    7.50333e-02
          3300        6.600    7.50333e-02
          3350        6.700    7.50333e-02
          3400        6.800    7.50333e-02
          3450        6.900    7.50333e-02
          3500        7.000    7.50333e-02
#   Success! :-)

#   The run has ended on Fri Mar  9 03:33:22 2012

#   The run has lasted for 0 days, 0 hours, 0 mins, and 33.00 secs

